,SUPERFICIE_VETRATA_OPACA,ALTEZZA_EDIFICIO,DEGREE_DAYS,TRASMITTANZA_MEDIA_COPERTURA,TRASMITTANZA_MEDIA_SERRAMENTO,TRASMITTANZA_MEDIA_INVOLUCRO,TRASMITTANZA_MEDIA_BASAMENTO,SUPERFICIE_NETTA,VOLUME_NETTO,NEW_CODE_PROVINCIA,SUPERFICIE_OPACA,ANNO_CODE,NUMERO_GENERATORI,ETH,CLASSE_ENERGETICA
299,0.0603,4.36,2557.0,0.207,1.247,0.2299,0.2168,161.79,511.37,1.0002,482.8897,1.0005,1,33.3113,2
668,0.0723,4.06,3064.0,0.185,0.9472,0.1764,0.129,79.6,208.68,1.0004,295.1177,1.0005,1,24.8922,2
887,0.0856,4.24,4648.0,0.1857,0.7648,0.2371,0.2118,266.47,701.21,1.0004,743.2484,1.0005,1,39.9428,2
1036,0.0626,3.63,2514.0,0.16,1.7725,0.1988,0.2526,109.32,263.64,1.0003,279.41740000000004,1.0005,1,39.9799,2
1081,0.0551,3.83,2479.0,0.224,1.6378,0.2721,0.2589,177.3,457.97,1.0012,394.1249,1.0005,2,29.7695,2
1247,0.1045,4.34,2761.0,0.198,1.3628,0.1794,0.2633,100.518,271.399,1.0009,308.10350000000005,1.0005,1,42.5764,2
1458,0.0578,4.03,2404.0,0.17,1.4368,0.1843,0.183,150.27,391.13,1.0002,471.0642,1.0005,2,34.4039,2
1572,4.8194,4.1,2404.0,0.272,0.4525,0.2533,0.2786,6676.38,18026.226,1.0002,9841.5505,1.0005,1,22.8478,2
1988,0.1303,3.6,2416.0,0.2424,0.9902,0.1666,0.2,140.26,352.39,1.0003,217.5817,1.0005,1,17.6776,1
2182,0.1009,4.16,2623.0,0.2151,1.1518,0.225,0.2708,118.5,340.68,1.0002,247.8841,1.0005,1,37.0273,2
2261,0.0666,4.58,2544.0,0.12,1.1771,0.1749,0.165,103.23,264.93,1.0012,319.5134,1.0005,2,44.1908,2
2288,0.0811,3.49,2646.0,0.3118,1.6564,0.3517,0.516,1281.07,2933.58,1.0008,2921.1239,1.0005,2,48.0235,2
2427,0.0791,4.03,2265.0,0.189,1.5109,0.2573,0.315,494.0,1325.76,1.0007,1283.5009,1.0005,3,35.4783,2
2776,0.0612,3.82,2428.0,0.1939,1.1877,0.2147,0.2618,130.78,322.21,1.0012,257.0588,1.0005,2,31.8004,2
2833,0.0512,4.25,2570.0,0.1856,1.5233,0.2773,0.2761,237.45,581.84,1.0007,570.6588,1.0005,1,40.9039,2
3095,0.1021,4.22,2409.0,0.1718,1.3198,0.2443,0.3133,343.66,927.89,1.0005,977.5479,1.0005,1,45.6849,2
3296,0.0656,3.78,2702.0,0.252,1.3609,0.7268,0.325,135.414,379.971,1.0009,337.3854,1.0005,1,84.3242,2
3334,0.1098,3.82,2602.0,0.222,1.3509,0.2875,0.3,160.793,411.443,1.0009,419.9502,1.0005,1,18.3246,2
3350,0.0625,5.11,2410.0,0.221,1.5366,0.2026,0.202,113.7,344.0,1.0007,351.3065,1.0003,2,36.77,2
3368,0.0805,4.38,2432.0,0.293,1.4811,0.2841,0.377,74.0,199.8,1.0012,204.4695,1.0005,1,25.5908,2
